Noun,SV_Simple_s,SV_Simple_p,SV_SubjRelClause_s,SV_SubjRelClause_p,SV_SentComp_s,SV_SentComp_p,SV_PP_s,SV_PP_p,SV_ObjRelClauseThat_s,SV_ObjRelClauseThat_p,SV_ObjRelClauseNoThat_s,SV_ObjRelClauseNoThat_p,RA_Simple_s,RA_Simple_p,RA_SentComp_s,RA_SentComp_p,RA_ObjRelClauseThat_s,RA_ObjRelClauseThat_p,RA_ObjRelClauseNoThat_s,RA_ObjRelClauseNoThat_p,wikitext_s_freq,wikitext_p_freq,webtext_s_freqs,webtext_p_freqs
appointment,-0.4409903495718948,-1.0575753767854574,0.5844476570159484,0.47825807913629304,-0.11518050603276886,0.12800341121129663,-1.1706311976044128,-1.7381999341945078,-0.6475511251720056,-0.5864071523104846,-0.8128194548367902,0.5297153896568927,-1.1758816869225277,-3.633638063861695,-1.459021865909797,-2.3990786035431273,-0.7600308808600749,-2.2501827024525314,-0.9057093425713326,-2.491189214336497,2742,656,84329,30798
arbiter,0.9671968111787473,-0.23339446102046055,0.10719232958246158,-0.2738239436326829,0.4525705807256344,-0.15145196994069254,0.6667068723564386,-0.1696223821092968,-0.8472305178128818,-0.7214886068684143,-0.08749787134614635,-0.312930677114323,0.19414049773999345,-1.2080556059572687,-0.05864486059873478,-0.4119516598553241,0.003302234731991746,0.12637881965697909,0.5363038363956723,0.16344105256244446,248,22,7407,2643
archer,1.1346930474290435,0.06600969811399543,-0.8719895801410792,-0.07157312625119226,0.28997165651937296,-1.5346406912825208,0.5401993877855819,0.02277373444036557,-0.005223313875587235,-0.2510928643120285,-1.592223780056687,-0.6526993610608212,0.9042622634787187,0.012343158101321576,0.9605935397545365,0.5128129282726157,0.7023488357683161,-0.2164834458415123,0.7382752132911024,0.11860567871140677,950,324,21385,4952
architect,0.31637456376899376,-0.3577806616831507,-0.16459703475218082,0.23373058988879095,-0.2070074504866958,-1.0082828030731301,0.44796327286009124,0.368194931171135,0.8318606108999416,-0.21282804826123197,0.8734797619212207,-0.8690826901097295,0.873228599038913,-0.20252609829383916,0.6281370960745767,-0.6295462732966496,0.7459148988364044,0.654055927733318,0.8542875531201948,-0.15193801413697605,2373,1256,56275,39639
aristocrat,0.02720574696657974,-0.372198645369089,0.5061007165691371,-1.1693930108512967,-0.013437852981080661,-0.4293405674330518,0.39628420505049167,-0.577892936596352,0.06663985116742019,0.22336349876111636,0.0493507949933758,-0.43961217177167117,1.3494765055622138,1.1318121165441792,1.1946184076162107,0.8959431412033378,1.220435439055417,1.7455905840353148,1.3503017705683455,1.454011752778922,138,191,2937,4228
artificer,0.16057105822690426,-0.7148214371456864,-0.7306503232299126,-1.4208698814302196,0.14252572930753815,-0.5430576723021093,0.12188536398402114,-0.004303738490611834,-0.5927124113327915,-0.1955219924680224,-1.2861831995431614,-0.5902560520359484,0.9755902938996854,-1.2789809653151527,0.6559264529525832,-0.9961531073141399,1.219721922870361,-0.2848065568929449,1.0050201978851436,0.016861519179490914,12,7,1139,313
artist,0.6273380148557067,-0.7504302458864189,0.278118247687539,0.25436944087949165,0.8506240332714826,-0.29499602192374724,0.049360494512895925,-0.0626621851736679,0.6136475442830946,0.5958689784737069,0.2559263954409608,0.771584747529557,0.5538366695381001,0.6516511806228018,0.41885848310405,0.28846256143747656,0.011656729138310451,0.42914380817030007,0.538075549340842,0.9611367431918212,9094,7385,229336,212484
ascetic,-0.7391229824664399,0.1037200151381017,0.8202170648518796,-0.7068169693035263,-0.16099230323053543,-0.07114957646036574,0.6307771553187526,0.6933151257083028,-0.03989490289806275,-0.2333155555209304,-0.3363082106545751,-1.525781432980073,1.4812260003128288,0.046111101989109185,1.2528454541620104,-0.809521773821049,1.5410679151119444,-0.48446251831051884,0.2392371512365418,-0.18424194154445933,142,50,3489,753
aspirant,0.840225846010009,0.6783462408483341,1.3578180266679953,0.01623986936319513,0.5841657228981585,0.7366752891873606,1.185361456201868,0.5414834446109336,0.6387952682617603,0.17660187182784948,-0.48361772549936816,0.21606140403873755,1.2367352985072784,1.1543361689150193,1.5220497425562598,0.8522766053035002,1.0043845301778778,0.5162297926597176,1.1360589314822656,0.8170284072766469,29,15,1909,1896
assignee,0.5440058751248154,-0.7935198585995262,0.7328158203302946,0.31447955590576027,1.1401886041530012,0.05018771422189807,-0.8454225190713105,-0.11012681383996856,0.45338283676839947,-0.06813354497015074,-0.0642622883802899,0.26847975539306174,-0.8121288744214399,0.15139414131703574,-0.42299052339209414,-0.24642899458512174,-0.9950218590730866,0.7704631223413632,-0.5702225772078671,-0.06277618705940277,10,5,421,164
assistant,0.46238009831945215,0.6029753332314056,0.8621852552578156,0.0033830877743880605,-0.6610265072542676,0.2771243976788665,1.152051257896495,0.9744413039989079,1.182793737251317,-0.11734966696613369,0.6264655488887241,-0.19510789564729789,0.03725375121763183,-1.1504521082530277,-0.16816487709605057,-1.301762691661842,0.28893202895118747,-0.6942738995522044,0.2988056050530113,-0.5671701764165504,5266,498,282156,21877
